"name","item","start_col","end_col","alignment","padding","name_literal","default","parent","section","source","year_added","version_added","year_retired","version_retired"
"rxSummTreatmentStatus",1285,2224,2224,"left"," ","RX Summ--Treatment Status",,"Tumor","Treatment-1st Course","SEER/CoC",2010,12,,
"rxSummSurgPrimSite",1290,2225,2226,"right","0","RX Summ--Surg Prim Site",,"Tumor","Treatment-1st Course","SEER/CoC",1997,,,
"rxSummScopeRegLnSur",1292,2227,2227,"left"," ","RX Summ--Scope Reg LN Sur",,"Tumor","Treatment-1st Course","SEER/CoC",1997,,,
"rxSummSurgOthRegDis",1294,2228,2228,"left"," ","RX Summ--Surg Oth Reg/Dis",,"Tumor","Treatment-1st Course","SEER/CoC",1997,,,
"rxSummRegLnExamined",1296,2229,2230,"right","0","RX Summ--Reg LN Examined",,"Tumor","Treatment-1st Course","SEER/CoC",1997,,,
"reserved07",1300,2521,2570,"left"," ","Reserved 07",,"Tumor","Treatment-Subsequent & Other",,2011,,,
"rxSummSurgicalApproch",1310,2231,2231,"left"," ","RX Summ--Surgical Approch",,"Tumor","Treatment-1st Course","CoC",,,,
"rxSummSurgicalMargins",1320,2232,2232,"left"," ","RX Summ--Surgical Margins",,"Tumor","Treatment-1st Course","CoC",,,,
"rxSummReconstruct1st",1330,2233,2233,"left"," ","RX Summ--Reconstruct 1st",,"Tumor","Treatment-1st Course","SEER",,,,
"reasonForNoSurgery",1340,2234,2234,"left"," ","Reason for No Surgery",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummDxStgProc",1350,2235,2236,"right","0","RX Summ--DX/Stg Proc",,"Tumor","Treatment-1st Course","CoC",,,,
"rxSummRadiation",1360,2238,2238,"left"," ","RX Summ--Radiation",,"Tumor","Treatment-1st Course","SEER",,,,
"rxSummRadToCns",1370,2239,2239,"left"," ","RX Summ--Rad to CNS",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummSurgRadSeq",1380,2240,2240,"left"," ","RX Summ--Surg/Rad Seq",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummChemo",1390,2243,2244,"right","0","RX Summ--Chemo",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummHormone",1400,2245,2246,"right","0","RX Summ--Hormone",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummBrm",1410,2247,2248,"right","0","RX Summ--BRM",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummOther",1420,2249,2249,"left"," ","RX Summ--Other",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"reasonForNoRadiation",1430,2250,2250,"left"," ","Reason for No Radiation",,"Tumor","Treatment-1st Course","CoC",,,,
"rxCodingSystemCurrent",1460,2251,2252,"right","0","RX Coding System--Current",,"Tumor","Treatment-1st Course","NAACCR",,,,
"phase1DosePerFraction",1501,2289,2293,"left"," ","Phase I Dose per Fraction",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase1RadiationExternalBeamTech",1502,2287,2288,"left"," ","Phase I Radiation External Beam Planning Tech",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase1NumberOfFractions",1503,2294,2296,"right","0","Phase I Number of Fractions",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase1RadiationPrimaryTxVolume",1504,2281,2282,"left"," ","Phase I Radiation Primary Treatment Volume",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase1RadiationToDrainingLN",1505,2283,2284,"left"," ","Phase I Radiation to Draining Lymph Nodes",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase1RadiationTreatmentModality",1506,2285,2286,"left"," ","Phase I Radiation Treatment Modality",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase1TotalDose",1507,2297,2302,"left"," ","Phase I Total Dose",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"radRegionalDoseCgy",1510,2253,2257,"right","0","Rad--Regional Dose: cGy",,"Tumor","Treatment-1st Course","CoC",,,,
"phase2DosePerFraction",1511,2311,2315,"left"," ","Phase II Dose per Fraction",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase2RadiationExternalBeamTech",1512,2309,2310,"left"," ","Phase II Radiation External Beam Planning Tech",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase2NumberOfFractions",1513,2316,2318,"right","0","Phase II Number of Fractions",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase2RadiationPrimaryTxVolume",1514,2303,2304,"left"," ","Phase II Radiation Primary Treatment Volume",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase2RadiationToDrainingLN",1515,2305,2306,"left"," ","Phase II Radiation to Draining Lymph Nodes",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase2RadiationTreatmentModality",1516,2307,2308,"left"," ","Phase II Radiation Treatment Modality",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase2TotalDose",1517,2319,2324,"right","0","Phase II Total Dose",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"radNoOfTreatmentVol",1520,2258,2260,"right","0","Rad--No of Treatment Vol",,"Tumor","Treatment-1st Course","CoC",,,,
"phase3DosePerFraction",1521,2333,2337,"left"," ","Phase III Dose per Fraction",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase3RadiationExternalBeamTech",1522,2331,2332,"left"," ","Phase III Radiation External Beam Planning Tech",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase3NumberOfFractions",1523,2338,2340,"right","0","Phase III Number of Fractions",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase3RadiationPrimaryTxVolume",1524,2325,2326,"left"," ","Phase III Radiation Primary Treatment Volume",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase3RadiationToDrainingLN",1525,2327,2328,"left"," ","Phase III Radiation to Draining Lymph Nodes",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase3RadiationTreatmentModality",1526,2329,2330,"left"," ","Phase III Radiation Treatment Modality",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"phase3TotalDose",1527,2341,2346,"right","0","Phase III Total Dose",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"radiationTxDiscontinuedEarly",1531,2349,2350,"left"," ","Radiation Treatment Discontinued Early",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"numberPhasesOfRadTxToVolume",1532,2347,2348,"right","0","Number of Phases of Rad Treatment to this Volume",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"totalDose",1533,2351,2356,"right","0","Total Dose",,"Tumor","Treatment-1st Course","CoC",2018,18,,
"radTreatmentVolume",1540,2261,2262,"right","0","Rad--Treatment Volume",,"Tumor","Treatment-1st Course","CoC",,,,
"radLocationOfRx",1550,2263,2263,"left"," ","Rad--Location of RX",,"Tumor","Treatment-1st Course","CoC",,,,
"radRegionalRxModality",1570,2264,2265,"right","0","Rad--Regional RX Modality",,"Tumor","Treatment-1st Course","CoC",,,,
"rxSummSystemicSurSeq",1639,2273,2273,"left"," ","RX Summ--Systemic/Sur Seq",,"Tumor","Treatment-1st Course","CoC",2006,11,,
"rxSummSurgeryType",1640,2274,2275,"right","0","RX Summ--Surgery Type",,"Tumor","Treatment-1st Course","SEER",2011,,,
"rxSummSurgSite9802",1646,2277,2278,"right","0","RX Summ--Surg Site 98-02",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummScopeReg9802",1647,2279,2279,"left"," ","RX Summ--Scope Reg 98-02",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummSurgOth9802",1648,2280,2280,"left"," ","RX Summ--Surg Oth 98-02",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"reserved08",1650,2725,2774,"left"," ","Reserved 08",,"Tumor","Edit Overrides/Conversion History/System Admin",,2011,,,
"subsqRx2ndCourseDate",1660,2457,2464,"left"," ","Subsq RX 2nd Course Date",,"Tumor","Treatment-Subsequent & Other","CoC",,,,
"subsqRx2ndcrsDateFlag",1661,2465,2466,"left"," ","Subsq RX 2ndCrs Date Flag",,"Tumor","Treatment-Subsequent & Other","NAACCR",2010,12,,
"subsqRx2ndCourseSurg",1671,2467,2468,"right","0","Subsq RX 2nd Course Surg",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndCourseRad",1672,2473,2473,"left"," ","Subsq RX 2nd Course Rad",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndCourseChemo",1673,2474,2474,"left"," ","Subsq RX 2nd Course Chemo",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndCourseHorm",1674,2475,2475,"left"," ","Subsq RX 2nd Course Horm",,"Tumor","Treatment-Subsequent & Other","CoC",,,,
"subsqRx2ndCourseBrm",1675,2476,2476,"left"," ","Subsq RX 2nd Course BRM",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndCourseOth",1676,2477,2477,"left"," ","Subsq RX 2nd Course Oth",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndScopeLnSu",1677,2469,2469,"left"," ","Subsq RX 2nd--Scope LN SU",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx2ndSurgOth",1678,2470,2470,"left"," ","Subsq RX 2nd--Surg Oth",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx2ndRegLnRem",1679,2471,2472,"right","0","Subsq RX 2nd--Reg LN Rem",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx3rdCourseDate",1680,2478,2485,"left"," ","Subsq RX 3rd Course Date",,"Tumor","Treatment-Subsequent & Other","CoC",,,,
"subsqRx3rdcrsDateFlag",1681,2486,2487,"left"," ","Subsq RX 3rdCrs Date Flag",,"Tumor","Treatment-Subsequent & Other","NAACCR",2010,12,,
"subsqRx3rdCourseSurg",1691,2488,2489,"right","0","Subsq RX 3rd Course Surg",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseRad",1692,2494,2494,"left"," ","Subsq RX 3rd Course Rad",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseChemo",1693,2495,2495,"left"," ","Subsq RX 3rd Course Chemo",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseHorm",1694,2496,2496,"left"," ","Subsq RX 3rd Course Horm",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseBrm",1695,2497,2497,"left"," ","Subsq RX 3rd Course BRM",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseOth",1696,2498,2498,"left"," ","Subsq RX 3rd Course Oth",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdScopeLnSu",1697,2490,2490,"left"," ","Subsq RX 3rd--Scope LN Su",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx3rdSurgOth",1698,2491,2491,"left"," ","Subsq RX 3rd--Surg Oth",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx3rdRegLnRem",1699,2492,2493,"right","0","Subsq RX 3rd--Reg LN Rem",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx4thCourseDate",1700,2499,2506,"left"," ","Subsq RX 4th Course Date",,"Tumor","Treatment-Subsequent & Other","CoC",,,,
"subsqRx4thcrsDateFlag",1701,2507,2508,"left"," ","Subsq RX 4thCrs Date Flag",,"Tumor","Treatment-Subsequent & Other","NAACCR",2010,12,,
"subsqRx4thCourseSurg",1711,2509,2510,"right","0","Subsq RX 4th Course Surg",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseRad",1712,2515,2515,"left"," ","Subsq RX 4th Course Rad",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseChemo",1713,2516,2516,"left"," ","Subsq RX 4th Course Chemo",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseHorm",1714,2517,2517,"left"," ","Subsq RX 4th Course Horm",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseBrm",1715,2518,2518,"left"," ","Subsq RX 4th Course BRM",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseOth",1716,2519,2519,"left"," ","Subsq RX 4th Course Oth",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thScopeLnSu",1717,2511,2511,"left"," ","Subsq RX 4th--Scope LN Su",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx4thSurgOth",1718,2512,2512,"left"," ","Subsq RX 4th--Surg Oth",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx4thRegLnRem",1719,2513,2514,"right","0","Subsq RX 4th--Reg LN Rem",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"reserved09",1740,2999,3048,"left"," ","Reserved 09",,"Tumor","Follow-up/Recurrence/Death",,2011,,,
"subsqRxReconstructDel",1741,2520,2520,"left"," ","Subsq RX--Reconstruct Del",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"dateOfLastContact",1750,2775,2782,"left"," ","Date of Last Contact",,"Patient","Follow-up/Recurrence/Death","SEER/CoC",,,,
"dateOfLastContactFlag",1751,2783,2784,"left"," ","Date of Last Contact Flag",,"Patient","Follow-up/Recurrence/Death","NAACCR",2010,12,,
"dateOfDeathCanada",1755,2953,2960,"left"," ","Date of Death--Canada",,"Patient","Follow-up/Recurrence/Death","CCCR",2009,,,
"dateOfDeathCanadaFlag",1756,2961,2962,"left"," ","Date of Death--Canada Flag",,"Patient","Follow-up/Recurrence/Death","NAACCR",2010,12,,
"vitalStatus",1760,2785,2785,"left"," ","Vital Status",,"Patient","Follow-up/Recurrence/Death","SEER/CoC",,,,
"vitalStatusRecode",1762,2786,2786,"left"," ","Vital Status Recode",,"Patient","Follow-up/Recurrence/Death","NAACCR",2018,18,,
"cancerStatus",1770,2787,2787,"left"," ","Cancer Status",,"Tumor","Follow-up/Recurrence/Death","CoC",,,,
"dateOfLastCancerStatus",1772,2788,2795,"left"," ","Date of Last Cancer (tumor) Status",,"Tumor","Follow-up/Recurrence/Death","CoC",2018,18,,
"dateOfLastCancerStatusFlag",1773,2796,2797,"left"," ","Date of Last Cancer (tumor) Status Flag",,"Tumor","Follow-up/Recurrence/Death","CoC",2018,18,,
"recordNumberRecode",1775,2798,2799,"left"," ","Record Number Recode",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2018,18,,
"qualityOfSurvival",1780,2800,2800,"left"," ","Quality of Survival",,"Tumor","Follow-up/Recurrence/Death","CoC",,,,
"survDateActiveFollowup",1782,2965,2972,"left"," ","Surv-Date Active Followup",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2015,15,,
"survFlagActiveFollowup",1783,2973,2973,"left"," ","Surv-Flag Active Followup",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2015,15,,
"survMosActiveFollowup",1784,2974,2977,"right","0","Surv-Mos Active Followup",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2015,15,,
"survDatePresumedAlive",1785,2978,2985,"left"," ","Surv-Date Presumed Alive",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2015,15,,
"survFlagPresumedAlive",1786,2986,2986,"left"," ","Surv-Flag Presumed Alive",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2015,15,,
"survMosPresumedAlive",1787,2987,2990,"right","0","Surv-Mos Presumed Alive",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2015,15,,
"survDateDxRecode",1788,2991,2998,"left"," ","Surv-Date DX Recode",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2015,15,,
"followUpSource",1790,2801,2801,"left"," ","Follow-Up Source",,"Tumor","Follow-up/Recurrence/Death","CoC",,,,
"followUpSourceCentral",1791,2951,2952,"right","0","Follow-up Source Central",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2006,11,,
"nextFollowUpSource",1800,2802,2802,"left"," ","Next Follow-Up Source",,"Tumor","Follow-up/Recurrence/Death","CoC",,,,
"addrCurrentCity",1810,2803,2852,"left"," ","Addr Current--City",,"Patient","Follow-up/Recurrence/Death","CoC",,,,
"addrCurrentState",1820,2853,2854,"left"," ","Addr Current--State",,"Patient","Follow-up/Recurrence/Death","CoC",,,,
"addrCurrentPostalCode",1830,2855,2863,"left"," ","Addr Current--Postal Code",,"Patient","Follow-up/Recurrence/Death","CoC",,,,
"addrCurrentCountry",1832,467,469,"left"," ","Addr Current--Country",,"Patient","Demographic","NAACCR",2013,13,,
"reserved10",1835,4805,4904,"left"," ","Reserved 10",,"Tumor","Patient-Confidential",,2011,,,
"countyCurrent",1840,2864,2866,"right","0","County--Current",,"Patient","Follow-up/Recurrence/Death","NAACCR",,,,
"followUpContactCity",1842,2879,2928,"left"," ","Follow-Up Contact--City",,"Tumor","Follow-up/Recurrence/Death","SEER",1997,,,
"followUpContactState",1844,2929,2930,"left"," ","Follow-Up Contact--State",,"Tumor","Follow-up/Recurrence/Death","SEER",1997,,,
"followUpContactPostal",1846,2931,2939,"left"," ","Follow-Up Contact--Postal",,"Tumor","Follow-up/Recurrence/Death","SEER",1997,,,
"followupContactCountry",1847,475,477,"left"," ","FollowUp Contact--Country",,"Tumor","Demographic","NAACCR",2013,13,,
"unusualFollowUpMethod",1850,2963,2964,"left"," ","Unusual Follow-Up Method",,"Tumor","Follow-up/Recurrence/Death","NAACCR",,,,
"recurrenceDate1st",1860,2867,2874,"left"," ","Recurrence Date--1st",,"Tumor","Follow-up/Recurrence/Death","CoC",,,,
"recurrenceDate1stFlag",1861,2875,2876,"left"," ","Recurrence Date--1st Flag",,"Tumor","Follow-up/Recurrence/Death","NAACCR",2010,12,,
"recurrenceType1st",1880,2877,2878,"right","0","Recurrence Type--1st",,"Tumor","Follow-up/Recurrence/Death","CoC",,,,
"reserved11",1900,4965,5014,"left"," ","Reserved 11",,"Tumor","Hospital-Confidential",,2011,,,
"causeOfDeath",1910,2940,2943,"left"," ","Cause of Death",,"Patient","Follow-up/Recurrence/Death","SEER",,,,
"seerCauseSpecificCod",1914,2944,2944,"left"," ","SEER Cause Specific COD",,"Tumor","Follow-up/Recurrence/Death","SEER",2018,18,,
"seerOtherCod",1915,2945,2945,"left"," ","SEER Other COD",,"Tumor","Follow-up/Recurrence/Death","SEER",2018,18,,
"icdRevisionNumber",1920,2946,2946,"left"," ","ICD Revision Number",,"Patient","Follow-up/Recurrence/Death","SEER",,,,
"autopsy",1930,2947,2947,"left"," ","Autopsy",,"Patient","Follow-up/Recurrence/Death","NAACCR",,,,
"placeOfDeath",1940,2948,2950,"right","0","Place of Death",,"Patient","Follow-up/Recurrence/Death","NPCR",,,,
"placeOfDeathState",1942,478,479,"left"," ","Place of Death--State",,"Patient","Demographic","NAACCR",2013,13,,
"placeOfDeathCountry",1944,480,482,"left"," ","Place of Death--Country",,"Patient","Demographic","NAACCR",2013,13,,
"siteIcdO1",1960,2596,2599,"left"," ","Site (73-91) ICD-O-1",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"histologyIcdO1",1971,2600,2603,"left"," ","Histology (73-91) ICD-O-1",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"behaviorIcdO1",1972,2604,2604,"left"," ","Behavior (73-91) ICD-O-1",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"gradeIcdO1",1973,2605,2605,"left"," ","Grade (73-91) ICD-O-1",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"icdO2ConversionFlag",1980,2606,2606,"left"," ","ICD-O-2 Conversion Flag",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideSsNodespos",1981,2571,2571,"left"," ","Over-ride SS/NodesPos",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",2001,9,,
"overRideSsTnmN",1982,2572,2572,"left"," ","Over-ride SS/TNM-N",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",,,,
"overRideSsTnmM",1983,2573,2573,"left"," ","Over-ride SS/TNM-M",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",2001,9,,
"overRideAcsnClassSeq",1985,2574,2574,"left"," ","Over-ride Acsn/Class/Seq",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",2001,9,,
"overRideHospseqDxconf",1986,2575,2575,"left"," ","Over-ride HospSeq/DxConf",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",2001,9,,
"overRideCocSiteType",1987,2576,2576,"left"," ","Over-ride CoC-Site/Type",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",2001,9,,
"overRideHospseqSite",1988,2577,2577,"left"," ","Over-ride HospSeq/Site",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",2001,9,,
"overRideSiteTnmStggrp",1989,2578,2578,"left"," ","Over-ride Site/TNM-StgGrp",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",2001,9,,
"overRideAgeSiteMorph",1990,2579,2579,"left"," ","Over-ride Age/Site/Morph",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideTnmStage",1992,2580,2580,"left"," ","Over-ride TNM Stage",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",2018,18,,
"overRideTnmTis",1993,2581,2581,"left"," ","Over-ride TNM Tis",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",2018,18,,
"overRideTnm3",1994,2582,2582,"left"," ","Over-ride TNM 3",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",2018,18,,
"overRideSeqnoDxconf",2000,2583,2583,"left"," ","Over-ride SeqNo/DxConf",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideSiteLatSeqno",2010,2584,2584,"left"," ","Over-ride Site/Lat/SeqNo",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideSurgDxconf",2020,2585,2585,"left"," ","Over-ride Surg/DxConf",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideSiteType",2030,2586,2586,"left"," ","Over-ride Site/Type",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideHistology",2040,2587,2587,"left"," ","Over-ride Histology",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideReportSource",2050,2588,2588,"left"," ","Over-ride Report Source",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideIllDefineSite",2060,2589,2589,"left"," ","Over-ride Ill-define Site",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideLeukLymphoma",2070,2590,2590,"left"," ","Over-ride Leuk,  Lymphoma",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",,,,
"overRideSiteBehavior",2071,2591,2591,"left"," ","Over-ride Site/Behavior",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",1997,,,
"overRideSiteEodDxDt",2072,2592,2592,"left"," ","Over-ride Site/EOD/DX Dt",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",1997,,,
"overRideSiteLatEod",2073,2593,2593,"left"," ","Over-ride Site/Lat/EOD",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",1997,,,
"overRideSiteLatMorph",2074,2594,2594,"left"," ","Over-ride Site/Lat/Morph",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",1997,,,
"overRideNameSex",2078,2595,2595,"left"," ","Over-ride Name/Sex",,"Patient","Edit Overrides/Conversion History/System Admin","NAACCR",2018,18,,
"reserved13",2080,6685,6934,"left"," ","Reserved 13",,"Tumor","Pathology",,2011,,,
"crcChecksum",2081,2607,2616,"left"," ","CRC CHECKSUM",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",1998,6,,
"dateCaseInitiated",2085,2640,2647,"left"," ","Date Case Initiated",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",2010,12,,
"dateCaseCompleted",2090,2648,2655,"left"," ","Date Case Completed",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",,,,
"dateCaseCompletedCoc",2092,2656,2663,"left"," ","Date Case Completed--CoC",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",2010,12,,
"dateCaseLastChanged",2100,2664,2671,"left"," ","Date Case Last Changed",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",,,,
"dateCaseReportExported",2110,2672,2679,"left"," ","Date Case Report Exported",,"Tumor","Edit Overrides/Conversion History/System Admin","NPCR",,,,
"dateCaseReportReceived",2111,2680,2687,"left"," ","Date Case Report Received",,"Tumor","Edit Overrides/Conversion History/System Admin","NPCR",1997,,,
"dateCaseReportLoaded",2112,2688,2695,"left"," ","Date Case Report Loaded",,"Tumor","Edit Overrides/Conversion History/System Admin","NPCR",1997,,,
"dateTumorRecordAvailbl",2113,2696,2703,"left"," ","Date Tumor Record Availbl",,"Tumor","Edit Overrides/Conversion History/System Admin","NPCR",1997,,,
"icdO3ConversionFlag",2116,2704,2704,"left"," ","ICD-O-3 Conversion Flag",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER/CoC",2001,9,,
"seerCodingSysCurrent",2120,2617,2617,"left"," ","SEER Coding Sys--Current",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",,,,
"seerCodingSysOriginal",2130,2618,2618,"left"," ","SEER Coding Sys--Original",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",,,,
"cocCodingSysCurrent",2140,2619,2620,"right","0","CoC Coding Sys--Current",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",,,,
"cocCodingSysOriginal",2150,2621,2622,"right","0","CoC Coding Sys--Original",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",,,,
"cocAccreditedFlag",2152,2624,2624,"left"," ","CoC Accredited Flag",,"Tumor","Edit Overrides/Conversion History/System Admin","NPCR",2018,18,,
"rqrsNcdbSubmissionFlag",2155,2623,2623,"left"," ","RQRS NCDB Submission Flag",,"Tumor","Edit Overrides/Conversion History/System Admin","CoC",2018,18,,
"vendorName",2170,2625,2634,"left"," ","Vendor Name",,"Tumor","Edit Overrides/Conversion History/System Admin","NAACCR",2011,,,
"seerTypeOfFollowUp",2180,2635,2635,"left"," ","SEER Type of Follow-Up",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",1995,4,,
"seerRecordNumber",2190,2636,2637,"right","0","SEER Record Number",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",1995,4,,
"diagnosticProc7387",2200,2638,2639,"left"," ","Diagnostic Proc 73-87",,"Tumor","Edit Overrides/Conversion History/System Admin","SEER",1995,5,,
"reserved14",2210,22195,24194,"left"," ","Reserved 14",,"Tumor","Text-Miscellaneous",,2011,,,
"stateRequestorItems",2220,3049,4048,"left"," ","State/Requestor Items",,"Tumor","Special Use","Varies",2011,,,
"nameLast",2230,4049,4088,"left"," ","Name--Last",,"Patient","Patient-Confidential","CoC",2011,,,
"nameFirst",2240,4089,4128,"left"," ","Name--First",,"Patient","Patient-Confidential","CoC",,,,
"nameMiddle",2250,4129,4168,"left"," ","Name--Middle",,"Patient","Patient-Confidential","CoC",,,,
"namePrefix",2260,4169,4171,"left"," ","Name--Prefix",,"Patient","Patient-Confidential","NAACCR",2011,,,
"nameSuffix",2270,4172,4174,"left"," ","Name--Suffix",,"Patient","Patient-Confidential","NAACCR",2011,,,
"nameAlias",2280,4175,4214,"left"," ","Name--Alias",,"Patient","Patient-Confidential","NAACCR",,,,
"nameSpouseParent",2290,4255,4314,"left"," ","Name--Spouse/Parent",,"Tumor","Patient-Confidential","NAACCR",2011,,,
"medicalRecordNumber",2300,4315,4325,"right"," ","Medical Record Number",,"Tumor","Patient-Confidential","CoC",,,,
