"item","name","type"
3899,"numberOfExaminedParaAorticNodes","sentineled_integer"
3900,"numberOfExaminedPelvicNodes","sentineled_integer"
3901,"numberOfPositiveParaAorticNodes","sentineled_integer"
3902,"numberOfPositivePelvicNodes","sentineled_integer"
3903,"oncotypeDxRecurrenceScoreDcis","sentineled_integer"
3904,"oncotypeDxRecurrenceScoreInvasive","sentineled_integer"
3905,"oncotypeDxRiskLevelDcis","factor"
3906,"oncotypeDxRiskLevelInvasive","factor"
3907,"organomegaly","boolean01"
3908,"percentNecrosisPostNeoadjuvant","sentineled_numeric"
3909,"perineuralInvasion","boolean01"
3910,"peripheralBloodInvolvement","factor"
3911,"peritonealCytology","factor"
3913,"pleuralEffusion","factor"
3914,"progesteroneReceptorPercentPositiveOrRange","sentineled_integer"
3915,"progesteroneReceptorSummary","boolean01"
3916,"progesteroneReceptorTotalAllredScore","sentineled_integer"
3917,"primarySclerosingCholangitis","boolean01"
3918,"profoundImmuneSuppression","factor"
3919,"prostatePathologicalExtension","character"
3920,"psaLabValue","sentineled_numeric"
3921,"residualTumorVolumePostCytoreduction","factor"
3922,"responseToNeoadjuvantTherapy","factor"
3923,"sCategoryClinical","factor"
3924,"sCategoryPathological","factor"
3925,"sarcomatoidFeatures","sentineled_integer"
3926,"schemaDiscriminator1","character"
3927,"schemaDiscriminator2","character"
3928,"schemaDiscriminator3","character"
3929,"separateTumorNodules","factor"
3930,"serumAlbuminPretreatmentLevel","factor"
3931,"serumBeta2MicroglobulinPretreatmentLevel","factor"
3932,"ldhPretreatmentLabValue","sentineled_numeric"
3933,"thrombocytopenia","factor"
3934,"tumorDeposits","sentineled_integer"
3935,"tumorGrowthPattern","factor"
3936,"ulceration","boolean01"
3937,"visceralAndParietalPleuralInvasion","factor"
7010,"pathReportingFacId1","character"
7011,"pathReportingFacId2","character"
7012,"pathReportingFacId3","character"
7013,"pathReportingFacId4","character"
7014,"pathReportingFacId5","character"
7090,"pathReportNumber1","character"
7091,"pathReportNumber2","character"
7092,"pathReportNumber3","character"
7093,"pathReportNumber4","character"
7094,"pathReportNumber5","character"
7100,"pathOrderPhysLicNo1","character"
7101,"pathOrderPhysLicNo2","character"
7102,"pathOrderPhysLicNo3","character"
7103,"pathOrderPhysLicNo4","character"
7104,"pathOrderPhysLicNo5","character"
7190,"pathOrderingFacNo1","character"
7191,"pathOrderingFacNo2","character"
7192,"pathOrderingFacNo3","character"
7193,"pathOrderingFacNo4","character"
7194,"pathOrderingFacNo5","character"
7320,"pathDateSpecCollect1","datetime"
7321,"pathDateSpecCollect2","datetime"
7322,"pathDateSpecCollect3","datetime"
7323,"pathDateSpecCollect4","datetime"
7324,"pathDateSpecCollect5","datetime"
7480,"pathReportType1","factor"
7481,"pathReportType2","factor"
7482,"pathReportType3","factor"
7483,"pathReportType4","factor"
7484,"pathReportType5","factor"
